ai_overlay_dialog.mojom.AiOverlayTools.RemoveBookmark	RemoveBookmark	806248597	637535405	112727658
ai_overlay_dialog.mojom.AiOverlayTools.Scroll	Scroll	1128842666	447320237	2066528250
ai_overlay_dialog.mojom.AiOverlayTools.SeekToTimestamp	SeekToTimestamp	599495130	1703433645	1120033694
ai_overlay_dialog.mojom.AiOverlayTools.SelectOption	SelectOption	202397822	1020441115	1937177179
ai_overlay_dialog.mojom.AiOverlayTools.SetFullscreen	SetFullscreen	2109319752	1222989662	1377317701
ai_overlay_dialog.mojom.AiOverlayTools.SetText	SetText	1578750858	104939917	348479381
ai_overlay_dialog.mojom.AiOverlayTools.SwitchTab	SwitchTab	1654423730	1735413137	1245224633
ai_overlay_dialog.mojom.AiOverlayTools.TranslatePage	TranslatePage	1331915708	367482299	1899775715
ai_overlay_dialog.mojom.Page.DidChangePage	DidChangePage	1915490341	702931426	214405140
ai_overlay_dialog.mojom.Page.OnAudioOutput	OnAudioOutput	194489763	796965872	530891996
ai_overlay_dialog.mojom.Page.OnGenerationStateChanged	OnGenerationStateChanged	1557819053	971628843	1928641487
ai_overlay_dialog.mojom.Page.OnStreamingSessionStateChanged	OnStreamingSessionStateChanged	170485207	1557364647	1120442167
ai_overlay_dialog.mojom.Page.OnTranscriptions	OnTranscriptions	1796773725	1469635817	1912817704
ai_overlay_dialog.mojom.Page.SetInputCaptionsVisible	SetInputCaptionsVisible	1188755086	1586000880	1672043667
ai_overlay_dialog.mojom.Page.SetOutputCaptionsVisible	SetOutputCaptionsVisible	1041718689	593832239	1934265607
ai_overlay_dialog.mojom.Page.SetUsePersona	SetUsePersona	407874336	823958638	1046016221
ai_overlay_dialog.mojom.Page.UpdateCurrentPageContext	UpdateCurrentPageContext	184624309	362717540	1408499727
ai_overlay_dialog.mojom.PageHandler.CaptureRawViewportRegion	CaptureRawViewportRegion	885250983	806348380	160316634
ai_overlay_dialog.mojom.PageHandler.Close	Close	1454175847	1870214687	252371155
ai_overlay_dialog.mojom.PageHandler.GetCursorPosition	GetCursorPosition	1862486624	2029371311	978676253
ai_overlay_dialog.mojom.PageHandler.GetImageBytes	GetImageBytes	691693575	1370063398	1558420783
ai_overlay_dialog.mojom.PageHandler.GetMockAudioData	GetMockAudioData	1778562305	575707561	2074422509
ai_overlay_dialog.mojom.PageHandler.GetRememberedNotes	GetRememberedNotes	1677187852	1672024760	477874547
ai_overlay_dialog.mojom.PageHandler.ReportPlaybackStatus	ReportPlaybackStatus	569464534	2041166189	527806321
ai_overlay_dialog.mojom.PageHandler.SendAudioChunk	SendAudioChunk	1827724334	1238800910	576514537
ai_overlay_dialog.mojom.PageHandler.SendTextInput	SendTextInput	1050553530	1061830391	703401204
ai_overlay_dialog.mojom.PageHandler.SetRememberedNote	SetRememberedNote	459423617	1610454348	1215762890
ai_overlay_dialog.mojom.PageHandler.StartStreamingSession	StartStreamingSession	1230179511	1310675995	1030440014
ai_overlay_dialog.mojom.PageHandler.StopStreamingSession	StopStreamingSession	1493634769	1328490599	1398728236
ai_overlay_dialog.mojom.PageHandler.UpdateAudioEnergy	UpdateAudioEnergy	1349283876	845060630	1260698065
ai_overlay_dialog.mojom.PageHandlerFactory.CreatePageHandler	CreatePageHandler	1491630672	1361886045	1049712340
aim_eligibility.mojom.Page.OnDriveStatusChanged	OnDriveStatusChanged	1124981980	1233677877	1408499727
aim_eligibility.mojom.Page.OnEligibilityStateChanged	OnEligibilityStateChanged	1329899628	1777672229	214405140
aim_eligibility.mojom.PageHandler.GetEligibilityState	GetEligibilityState	1668516781	1269004802	2074422509
aim_eligibility.mojom.PageHandler.RequestServerEligibilityForDebugging	RequestServerEligibilityForDebugging	11804751	901831250	1260698065
aim_eligibility.mojom.PageHandler.SetEligibilityResponseForDebugging	SetEligibilityResponseForDebugging	803056404	1938301348	252371155
aim_eligibility.mojom.PageHandlerFactory.CreatePageHandler	CreatePageHandler	1491630672	1488639608	1049712340
android_webview.mojom.FrameHost.ContentsSizeChanged	ContentsSizeChanged	124113676	106941548	1087015743
android_webview.mojom.FrameHost.ShouldOverrideUrlLoading	ShouldOverrideUrlLoading	1035224245	228987508	21755759
android_webview.mojom.FrameHost.UpdateHitTestData	UpdateHitTestData	776304913	308408379	391421434
android_webview.mojom.LocalMainFrame.DocumentHasImage	DocumentHasImage	1068176413	1620911074	153303356
android_webview.mojom.LocalMainFrame.ResetScrollAndScaleState	ResetScrollAndScaleState	543401493	1749290182	984578542
android_webview.mojom.LocalMainFrame.SetInitialPageScale	SetInitialPageScale	1304774238	22960680	352307538
android_webview.mojom.LocalMainFrame.SetTextZoomFactor	SetTextZoomFactor	1282622842	849862613	846734821
android_webview.mojom.LocalMainFrame.SmoothScroll	SmoothScroll	1614718156	658961938	1965898620
